timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1596214456486,239,GET,200,OK,Thread Group 1-1,text,true,,1081,141,1,1,http://jsonplaceholder.typicode.com/posts/1/,239,0,12
1596214456726,267,POST,201,Created,Thread Group 1-1,text,true,,964,251,2,2,http://jsonplaceholder.typicode.com/posts/,267,0,35
1596214456984,37,GET,200,OK,Thread Group 1-2,text,true,,1081,141,2,2,http://jsonplaceholder.typicode.com/posts/1/,37,0,12
1596214456994,170,PUT,200,OK,Thread Group 1-1,text,true,,834,256,2,2,http://jsonplaceholder.typicode.com/posts/1,170,0,10
1596214457022,187,POST,201,Created,Thread Group 1-2,text,true,,964,251,2,2,http://jsonplaceholder.typicode.com/posts/,187,0,13
1596214457165,259,DELETE,200,OK,Thread Group 1-1,text,true,,769,227,2,2,http://jsonplaceholder.typicode.com/posts/1/,259,0,0
1596214457210,214,PUT,200,OK,Thread Group 1-2,text,true,,834,256,2,2,http://jsonplaceholder.typicode.com/posts/1,214,0,34
1596214457424,26,GET,200,OK,Thread Group 1-1,text,true,,1081,141,2,2,http://jsonplaceholder.typicode.com/posts/1/,26,0,0
1596214457483,190,GET,200,OK,Thread Group 1-3,text,true,,1081,141,3,3,http://jsonplaceholder.typicode.com/posts/1/,190,0,11
1596214457424,254,DELETE,200,OK,Thread Group 1-2,text,true,,769,227,3,3,http://jsonplaceholder.typicode.com/posts/1/,254,0,0
1596214457450,229,POST,201,Created,Thread Group 1-1,text,true,,964,251,3,3,http://jsonplaceholder.typicode.com/posts/,229,0,0
1596214457679,37,GET,200,OK,Thread Group 1-2,text,true,,1081,141,3,3,http://jsonplaceholder.typicode.com/posts/1/,37,0,0
1596214457717,260,POST,201,Created,Thread Group 1-2,text,true,,964,251,3,3,http://jsonplaceholder.typicode.com/posts/,260,0,0
1596214457673,304,POST,201,Created,Thread Group 1-3,text,true,,964,251,3,3,http://jsonplaceholder.typicode.com/posts/,304,0,11
1596214457679,299,PUT,200,OK,Thread Group 1-1,text,true,,834,256,3,3,http://jsonplaceholder.typicode.com/posts/1,299,0,0
1596214457983,39,GET,200,OK,Thread Group 1-4,text,true,,1081,141,4,4,http://jsonplaceholder.typicode.com/posts/1/,39,0,11
1596214457978,177,DELETE,200,OK,Thread Group 1-1,text,true,,769,227,4,4,http://jsonplaceholder.typicode.com/posts/1/,177,0,0
1596214457978,178,PUT,200,OK,Thread Group 1-3,text,true,,834,256,4,4,http://jsonplaceholder.typicode.com/posts/1,178,0,12
1596214457977,183,PUT,200,OK,Thread Group 1-2,text,true,,834,256,4,4,http://jsonplaceholder.typicode.com/posts/1,183,0,0
1596214458156,23,GET,200,OK,Thread Group 1-1,text,true,,1081,141,4,4,http://jsonplaceholder.typicode.com/posts/1/,23,0,0
1596214458023,198,POST,201,Created,Thread Group 1-4,text,true,,964,251,4,4,http://jsonplaceholder.typicode.com/posts/,198,0,36
